Customer_ID;Name;Sex;Age;Occupation;Annual_Income;Monthly_Inhand_Salary
47494;Simon Jessope;M;18;Informático;39887.22;3224.94
48667;Kazunorit;M;43;Informático;14129.76;1012.48
40166;Ekr;M;42;Informático;123732.32;10416.03
28667;Herbert Lashb;M;36;Varios;17251.38;1654.62
17173;Christophd;M;22;Emprendedor / Independiente;36822.29;3132.52
16219;Mikeh;M;25;Doctor;80108.31;6866.69
40312;Tim Hepherp;M;20;Ciencias Varias;69977.6;5978.47
18395;Granto;M;20;Artes;78988.48;6449.37
36631;Ermans;M;45;Periodismo;41746.76;3651.9
32011;Isabel Reynoldsb;M;21;Varios;19981.6;1459.13
29956;Laup;M;18;Abogado / Notario / Escribano;73737.36;5936.78
1908;Christopher Doeringv;M;33;Artes;88362.46;7255.54
40816;Michelley;M;45;Emprendedor / Independiente;118248.6;10115.05
43894;Stempelp;M;26;Ciencias Varias;60162.1;5197.51
23775;Wohli;M;21;Artes;75273.24;6552.77
8580;Goldsteinv;M;18;Varios;54820.89;4295.41
41302;Silvia Aloisiq;M;42;Emprendedor / Independiente;58674.66;4824.56
29938;Colew;M;30;Arquitectura;30390.44;2721.54
12427;Longstrethy;M;42;Doctor;45207.54;3507.3
10279;Lisah;M;18;Ciencias Varias;144546.72;11809.56
41621;Patrick Temple-Westf;M;38;Ingeniero;30346.35;2651.86
27694;Dowsettk;M;46;Mecánico;18681.47;1584.79
14412;David Henryp;M;41;Ciencias Varias;9841.34;690.11
27835;Oreskovicv;M;35;Varios;72330.98;6300.58
13995;Svea Herbst-Baylisss;M;20;Profesor;43241.49;3580.46
26185;Slaterf;M;19;Mecánico;34106.78;2767.23
26710;Gellerp;M;24;Profesor;129067.59;10795.63
41598;Papadimaso;M;34;Arquitectura;17001.34;1214.78
28685;Blenkinsopc;M;21;Contador;44719.17;3969.6
30944;Tagarish;M;47;Contador;17787.34;1242.28
26516;Raymondl;M;42;Profesor;103353.06;8527.76
3628;Andreasc;M;38;Periodismo;31021.24;2756.1
14011;Elinor Comlaye;M;36;Periodismo;134978.24;11059.19
42879;Jeanine Preziosor;F;28;Varios;39800.12;3047.68
7792;Alexh;F;21;Admnistración;14841.35;1437.78
41781;Lisa Baertleink;F;21;Arquitectura;66105.4;5653.78
29152;Aruna Viswanathau;F;28;Mecánico;15398.95;1548.25
19184;Nicolacih;F;18;Informático;27070.07;2518.84
14433;Fiona Ortizx;F;53;Ingeniero;17992.78;1769.4
9229;Taiga Uranakan;F;55;Artes;139354.48;10872.27
9810;Suev;F;22;Profesor;18305.25;1557.44
9626;Allison Martelly;F;25;Periodismo;27865.26;2606.11
10421;Stempeln;F;36;Arquitectura;23404.86;1899.41
34371;Steve Slatery;F;33;Artes;14205.09;1086.76
4821;ita Bosed;M;28;Ciencias Varias;62320.56;5068.38
16132;Jenniferu;M;25;Admnistración;43758.34;3454.53
25286;B.u;M;20;Varios;144881.68;11877.47
14733;Leongy;M;38;Varios;108147.3;8926.28
24971;Vaughano;M;27;Abogado / Notario / Escribano;17759.1;1533.93
29264;Doris Frankelj;F;37;Profesor;85328.73;6858.73
25653;Alexei Oreskovicf;F;26;Varios;134321.44;11064.45
46765;Jamiec;F;24;Abogado / Notario / Escribano;61008;5235
30840;Anna Driverq;F;19;Informático;28665.76;2582.81
13749;Andrewm;F;18;Abogado / Notario / Escribano;56803.71;4620.64
31247;Soyoungc;M;31;Arquitectura;38364.82;2904.07
7177;Ritsukoh;M;21;Abogado / Notario / Escribano;66528.24;5733.02
11277;ernieh;M;55;Doctor;19403.41;1904.95
36979;Matt Falloono;M;19;Periodismo;31122.79;2761.57
10259;John McCrankg;F;19;Arquitectura;15015.4;1213.28
44179;Hornbyg;M;34;Ingeniero;19777.05;1728.09
35945;Toonkelf;M;24;Artes;20188.02;1851.34
13914;Aless ray;F;54;Ciencias Varias;41345.58;3260.47
30086;Stevee;M;31;Ingeniero;55151.04;4704.92
40039;Mariy;M;39;Admnistración;30536.62;2430.72
31919;Rl;M;29;Arquitectura;147499.6;12353.63
41719;Kevinq;F;42;Arquitectura;20005.22;1683.1
24087;Clarkew;F;32;Ciencias Varias;19795.52;1662.63
4744;Taylorq;F;33;Doctor;60938.13;5163.18
22139;Marilynj;F;54;Admnistración;80396.86;6623.74
9061;Browningo;F;42;Varios;57610.32;4517.86
35332;Mutikanib;F;36;Periodismo;18717.02;1294.75
24597;Scott Maloneq;F;21;Periodismo;19163.22;1346.94
8678;Strupczewskid;F;48;Varios;94554.87;7914.57
43430;Henry Foyi;F;27;Artes;63536.98;5382.75
12679;Jan Schwartze;F;39;Arquitectura;9983.35;758.95
16319;Clara Ferreira-Marquesi;M;18;Contador;27796.42;2300.37
38204;Aruna Viswanathag;M;29;Ingeniero;132872.72;11203.73
19114;Caseyo;M;41;Arquitectura;140014.36;11662.86
10567;Carolinew;M;47;Contador;37071.2;3006.27
12512;Appsq;M;20;Emprendedor / Independiente;41735.55;3357.96
50103;Ilainar;M;38;Arquitectura;40391.66;3357.97
7835;Taylorb;M;18;Varios;7441.3;873.11
15240;Mikex;M;40;Ciencias Varias;19065.32;1497.78
44625;Josephine Masonz;M;46;Emprendedor / Independiente;24585.55;2316.8
47087;Samd;M;26;Admnistración;15013.73;1127.14
45704;Nicolacir;M;43;Periodismo;126006.68;10693.56
31266;Sabam;M;49;Informático;102885.32;8643.78
38037;Freifeldo;M;38;Profesor;34212.01;2847
25841;Michael Ermanl;M;26;Emprendedor / Independiente;118487.16;9810.93
26441;Subhadip Sircarf;M;26;Mecánico;77418.52;6450.54
49609;Jessica Toonkelx;M;45;Arquitectura;24199.24;1951.6
8970;Lashx;M;47;Artes;28587.29;2621.27
35112;Ernest Scheyderr;M;31;Admnistración;16578.12;1426.51
26671;en Klaymant;M;20;Varios;74647.4;6327.62
18481;Sharpq;M;43;Mecánico;34766.06;3133.17
12965;"John ODonnell""f";M;22;Ingeniero;16852.64;1691.39
28943;Morganz;M;20;Ciencias Varias;33502.1;2890.84
42315;Ben Berkowitze;F;27;Varios;91690.53;7795.88
22090;Rick Rothackerq;M;36;Emprendedor / Independiente;30502.54;2595.88
45056;Frazierm;F;20;Varios;30272.61;2258.72
9604;Steven C.z;M;31;Contador;59971.42;5190.62
23103;Dineshi;F;32;Contador;42220.39;3490.37
49985;Carlos Ruanov;M;51;Arquitectura;43581.13;3566.76
6806;Sinead Carewi;F;49;Varios;28681.38;2127.12
47009;Danielb;F;33;Doctor;35376.32;2717.03
12757;Mutikanit;F;48;Doctor;15488.89;1273.74
17911;Cheez;M;26;Emprendedor / Independiente;19853.35;1726.45
26135;Luciaw;F;32;Varios;115643.01;9910.92
23424;Edward Taylorz;F;44;Periodismo;7512.23;513.02
42312;Costa Alisterq;F;18;Mecánico;35161.46;2930.12
47594;Aileen Wangy;M;33;Varios;9133.05;777.09
21696;Hollx;M;22;Emprendedor / Independiente;19283.47;1886.96
9611;Alastair Sharpe;M;23;Ciencias Varias;66502.76;5379.9
19380;ill Rigbys;M;33;Varios;9444.8;850.07
36469;Alisteri;M;46;Doctor;70112.78;5989.73
3989;Alexei Anishchukz;M;21;Emprendedor / Independiente;15604.56;1389.38
16424;Papachristouy;M;36;Admnistración;68935.26;5518.61
36280;Aileen Wanga;M;42;Doctor;31807;2733.58
7779;Aileen Wangy;F;36;Artes;10025.2;1089.43
18760;Robinsonc;F;39;Varios;64036.88;5591.41
50043;Thomaso;F;29;Profesor;9783.25;908.27
4044;Suvashree Deyy;M;22;Contador;86522.72;7098.23
25806;Lopezu;M;21;Abogado / Notario / Escribano;124419.66;10221.31
38260;Viswanathan;M;50;Emprendedor / Independiente;15606.52;1234.54
48264;Matthew Goldsteinb;M;24;Informático;28230.92;2184.58
26139;Jennifer Ablanc;M;28;Informático;10623.77;895.31
3153;Danv;M;19;Profesor;11970.96;1169.58
38198;Sabar;M;40;Admnistración;112362.76;9279.56
50592;Gillesb;M;20;Admnistración;33335.24;3059.94
45698;Sara Rossii;M;32;Admnistración;131577.84;11205.82
47544;Dhanya Skariachand;F;48;Emprendedor / Independiente;32314.44;2805.87
16001;Chuck Mikolajczaky;F;20;Admnistración;61235.6;4870.97
14082;Barbashr;F;39;Periodismo;19078.93;1304.91
35343;Pelofskyv;F;34;Mecánico;83703.52;6955.29
8638;Ransdellx;F;45;Artes;99127.04;8217.59
35871;Warren Strobels;F;18;Varios;10405.01;694.08
26593;Cablef;F;42;Abogado / Notario / Escribano;135895.96;11304.66
7174;Scuffhamx;F;21;Doctor;29608.46;2625.37
22369;Taylora;F;29;Emprendedor / Independiente;29999.94;2768
39498;Poppery;F;20;Artes;52972.5;4600.38
4107;Shirboni;F;18;Varios;113781.39;9549.78
25381;Andyc;F;30;Abogado / Notario / Escribano;15746.63;1122.22
20028;Toonkeld;M;19;Abogado / Notario / Escribano;97961.96;8205.5
45591;Deepa Seetharamanv;M;47;Arquitectura;31895.07;2488.92
45940;enu;M;31;Arquitectura;30922.28;2494.86
7502;McCranke;M;37;Periodismo;25530.33;2137.53
35403;Ilainac;M;51;Doctor;110786.64;9299.22
37887;Roumeliotisv;M;26;Abogado / Notario / Escribano;39696.98;3211.08
15917;Manuelap;M;34;Periodismo;120366.6;9888.55
18748;Taylorj;M;51;Mecánico;13074.4;1356.53
34976;Tarmov;M;30;Admnistración;76087.68;6155.64
21567;Lucia Mutikanid;M;23;Mecánico;51824.94;4417.75
40830;Michael Ermani;M;31;Periodismo;11431.78;930.65
9126;Valetkevitchm;M;38;Doctor;14224.66;1395.39
43124;Camposg;M;46;Artes;142170.12;11584.51
20133;Schnurrk;M;45;Mecánico;19951.77;1592.65
33288;Jonathan Spicers;M;36;Profesor;94454.1;8102.18
45919;Nicolacia;M;28;Doctor;27063.43;2455.29
34454;Aileen Wangw;M;44;Varios;36980.1;3352.68
18906;Lashh;M;26;Profesor;96582.24;7886.52
23956;Tom Milese;M;39;Informático;122978.43;10514.2
16117;Robinsonl;M;32;Doctor;7821.24;468.77
48547;Chris Vellacotte;M;22;Admnistración;30972.54;2431.05
10749;Steven C.g;M;28;Informático;7709.63;625.47
48115;Laura Noonanp;M;53;Periodismo;34547.54;2994.96
11313;Yokog;M;30;Artes;173196.32;14258.03
46270;Carrick Mollenkampu;M;19;Ingeniero;20354.85;1403.24
41475;Deepa Seetharamanc;F;40;Emprendedor / Independiente;46113.81;3953.82
42947;Vidalonw;M;18;Doctor;8882.47;555.21
30439;env;M;26;Admnistración;34128.92;2740.08
18132;Chann;M;43;Ciencias Varias;29042.45;2252.2
14702;Eileene;F;32;Arquitectura;26716.09;2372.34
29941;Prakashy;M;18;Doctor;74733.44;5933.79
47589;Katev;M;44;Varios;8681.77;647.48
44222;Henryg;F;37;Varios;10034.55;719.21
39249;Doug Palmerf;M;40;Profesor;20540.49;1859.71
48313;Oreskovicb;M;51;Artes;38175.39;3287.28
44693;Peterw;M;22;Contador;116594.91;9836.24
8094;Joyce Leeo;F;48;Admnistración;24894.05;2371.5
8770;Barrf;F;38;Profesor;39399.9;3487.33
16005;Julienz;M;24;Artes;142113.96;11903.83
2631;Jonathan Stempelm;M;47;Mecánico;65299.38;5305.62
43584;Onoszkoz;F;52;Admnistración;33200.52;2755.71
5202;Sarah Whited;M;40;Arquitectura;82289.36;6951.45
30415;Catherine Bosleyn;F;39;Emprendedor / Independiente;7792.48;573.37
28735;Annikam;F;36;Varios;65778.22;5561.52
1394;Tom Halsb;M;44;Profesor;12016;729.33
4174;Kentaros;M;50;Profesor;19180.87;1688.41
28472;Ransdellj;F;30;Emprendedor / Independiente;60552.76;4950.06
31548;ray;M;40;Mecánico;44386.47;3703.87
28829;Palmers;F;40;Abogado / Notario / Escribano;9141.63;797.8
50228;Mariannae;M;35;Periodismo;11245.11;1173.09
35346;Sullivang;F;39;Contador;98197.74;8005.15
20148;Michael Avokf;M;21;Periodismo;30197.28;2594.44
43776;Markx;F;18;Admnistración;31633.54;2930.13
35994;Caroline Valetkevitchr;M;31;Arquitectura;118172.64;9932.72
11358;Lynchj;M;34;Abogado / Notario / Escribano;19623.18;1806.27
28885;Lawrence Whitec;F;32;Mecánico;63197.26;5042.44
45138;Claren;M;35;Periodismo;10007.82;757.98
31796;Norihiko Shirouzun;M;27;Emprendedor / Independiente;121688.04;10006.67
16982;Bakerz;F;21;Contador;31069.32;2361.11
20228;Suvashree Deyw;F;38;Mecánico;72241.02;5751.09
16823;Laurens;F;24;Profesor;7612.73;928.39
37013;Sinead Carewx;M;46;Admnistración;16953.99;1684.83
41055;Zhdannikovi;F;21;Ciencias Varias;125508.36;10559.03
12445;Anna Yukhananovm;F;20;Doctor;7495.31;533.61
42274;Sarahr;M;18;Artes;35133.49;2883.79
35438;Annab;F;48;Mecánico;16866.5;1615.54
30673;Alpere;M;33;Contador;18969.19;1849.77
3558;Melanie Leer;F;55;Ingeniero;36154.19;3247.85
42610;Glenn Somervilleo;M;31;Emprendedor / Independiente;51113.85;4356.49
36015;Peterd;F;21;Informático;18784.88;1371.41
18005;Lawdert;F;46;Contador;49889.38;4359.45
9642;Ilainaj;F;18;Mecánico;29233.34;2637.11
48392;Andrea Shalal-Esag;F;40;Periodismo;28922.03;2548.17
27460;Dan Levined;F;39;Informático;20742.46;1801.54
29975;Basesn;F;35;Profesor;55719.18;4689.27
21032;Malonima Guptax;M;20;Mecánico;55558.71;4336.89
11886;Andreasf;M;24;Ingeniero;33447.42;2859.29
10251;orv;M;26;Contador;34841.87;3025.49
20916;Ben Hirschlerq;M;35;Ingeniero;17655.43;1530.29
41430;Damounid;M;30;Arquitectura;7103.04;725.92
35602;Katharina Bartn;M;39;Periodismo;63101.14;5246.43
42073;Lopezl;M;20;Contador;33453.08;2658.76
3875;Lawrencef;M;42;Mecánico;83845.7;6958.14
31996;Shalal-Esaf;M;36;Varios;108415;8848.58
29327;Carewl;M;52;Doctor;32663.41;2879.95
3333;Daniel Flynnu;M;45;Artes;132537.24;10831.77
15607;Yaog;M;30;Periodismo;17850.56;1391.55
42778;ernardot;M;33;Profesor;15713.83;1313.49
13006;Nate Raymondd;M;30;Contador;62050.89;5386.91
39756;ill Rigbys;F;36;Doctor;18744.4;1410.03
17200;Huww;F;38;Varios;12070.85;1088.9
3929;Huntt;M;21;Doctor;38539.57;3438.63
39512;Ernest Schuyderl;M;47;Mecánico;48411.24;4306.27
16542;James Pomfretu;M;23;Admnistración;47275.96;4238.66
21293;Levinec;F;42;Varios;30232.28;2342.36
44471;Emilym;M;28;Arquitectura;33314.96;2955.25
43466;Reiji Muraio;M;44;Abogado / Notario / Escribano;7599.04;898.25
27049;Blamontg;F;18;Varios;97640.4;8034.7
32251;Jonathanq;F;33;Artes;75881.16;6535.43
1145;Mark Shades;F;28;Mecánico;36490.98;2828.92
15197;Fooa;F;18;Informático;30743.6;2557.97
37223;Henryh;F;21;Emprendedor / Independiente;177150.4;14710.53
19035;Rucinskiw;F;26;Arquitectura;110264;9225.67
4061;Leikau;F;18;Ciencias Varias;32128.24;2693.35
18563;Clareb;M;23;Emprendedor / Independiente;151722.56;12352.55
25479;Araxiab;M;26;Admnistración;62316.63;4895.05
3459;Rie Ishigurot;M;43;Abogado / Notario / Escribano;19310.62;1630.22
15587;Euan Rochai;M;47;Emprendedor / Independiente;94511.79;7717.98
42758;Matthiasr;M;49;Admnistración;96275.84;8101.99
39299;Julien Toyerb;M;36;Varios;57219.92;4511.33
10359;McLeodc;M;30;Varios;80591.2;6453.93
7665;Barberm;M;30;Mecánico;73434.92;5849.58
16931;Investment Correspondentu;M;21;Informático;53916.84;4735.07
16199;Ridleyc;M;34;Artes;53071.47;4656.62
2155;Paulr;M;42;Ingeniero;69692.16;6034.68
39161;da Costaa;M;33;Emprendedor / Independiente;15735.68;1043.31
18155;Johnm;M;31;Ingeniero;20502.64;1588.55
6243;Vinocurw;M;53;Admnistración;55662.64;4900.55
18463;Hudsonl;M;20;Ciencias Varias;19758.84;1901.57
1947;Chuckl;M;26;Abogado / Notario / Escribano;55000.62;4526.39
48921;Jennifer Ablans;M;20;Doctor;10352.75;861.73
42241;Horowitzq;M;34;Mecánico;50811.27;4387.27
9730;John McCrankq;M;27;Ciencias Varias;59448.04;4870
2414;Melissaj;M;47;Doctor;18549.28;1698.77
34378;Choe;M;49;Profesor;134810.13;10998.18
22225;Bena;M;27;Varios;162550.32;13731.86
44558;Henryu;M;20;Contador;102596.64;8718.72
15167;Frankc;M;31;Admnistración;14884.47;1538.37
39876;Brs;M;39;Arquitectura;31732.61;2899.38
25252;Wolde Katel;F;46;Abogado / Notario / Escribano;50847.22;4156.27
19575;Tim Gaynorq;F;33;Doctor;9349.48;772.12
25328;Andream;F;43;Profesor;135115.44;11444.62
13354;Andreasm;F;34;Abogado / Notario / Escribano;66169.56;5799.13
30103;McCooll;F;43;Artes;56760.51;4999.04
47982;Elvina Nawagunaq;F;32;Arquitectura;108223.62;8775.64
31829;Sarah N.h;M;31;Admnistración;53098.47;4197.87
43061;Henry Foye;M;54;Artes;17853.5;1226.79
18047;Johns;M;19;Contador;16813.54;1101.13
30096;Malathi Nayakw;F;43;Arquitectura;68665.76;5619.15
20826;Dena Aubing;F;20;Informático;22500.52;1770.04
4426;Valetkevitchu;M;42;Informático;15305.46;1230.46
18909;Masond;F;18;Ingeniero;15544.47;1030.37
25414;Suzanneb;F;50;Varios;99089.52;8309.46
18460;Suzanneh;F;22;Varios;9307.24;1013.6
41450;Pedro Nicolacim;M;41;Arquitectura;134316.2;11429.02
28850;Zhou Xiny;M;39;Varios;38685.98;3360.83
50021;Volcovicif;F;22;Doctor;69933.98;5561.83
36602;Younga;F;26;Emprendedor / Independiente;21075.36;1904.28
38787;Luciac;F;40;Contador;60843.33;4902.28
27159;Svear;F;35;Artes;15091.03;1480.59
35843;Drivera;F;19;Ciencias Varias;54987.52;4762.29
44534;Halpinh;F;38;Doctor;7506.13;872.51
41318;Nadiaf;F;43;Ingeniero;17448.08;1315.01
32039;Polinaa;M;40;Periodismo;42241.19;3231.1
22168;Herbert Lashz;M;24;Emprendedor / Independiente;31087.66;2471.64
1310;Edwardsi;M;42;Informático;132414.16;11050.51
43835;Grovert;M;54;Abogado / Notario / Escribano;92794.04;7562.84
3907;Michelef;M;37;Varios;82998.24;7186.52
13403;Jessical;M;41;Artes;16582.83;1157.9
19508;Melaniez;M;45;Emprendedor / Independiente;31896.42;2417.04
15697;Baertleinm;M;21;Emprendedor / Independiente;34927;2920.58
40959;Tenf;M;54;Mecánico;25020.07;1928.01
42014;Sweeneyt;M;30;Doctor;82778.56;7008.21
31101;Leskeb;M;36;Doctor;94052.22;7704.69
2500;Scott Haggettd;M;22;Varios;16355.71;1240.98
40205;Chrisq;M;18;Ingeniero;15119.56;1209.96
24621;Gavin Jonesu;F;20;Profesor;20639.79;1541.98
25565;Rodrigo Camposw;M;36;Doctor;18472.71;1392.39
16167;Julien Toyerp;M;54;Abogado / Notario / Escribano;42731.27;3300.94
26623;Barlyni;F;31;Admnistración;82700.32;6625.69
49735;rian Loveq;M;44;Informático;11968.51;1254.38
50979;Soyoung Kimt;M;32;Mecánico;33386.25;2851.19
41491;Jessicau;M;20;Arquitectura;67614.24;5558.52
24677;Cremerp;M;35;Contador;174304.04;14458.34
32609;Saphirq;F;25;Doctor;68742.75;5902.56
46435;Kirstinj;M;45;Periodismo;15932.73;1219.73
18354;Mary Gabrielx;M;43;Doctor;55583.67;4816.97
37688;Bartj;M;18;Arquitectura;72252.36;6059.03
24834;Wanfengo;M;32;Ciencias Varias;30399.06;2298.26
22420;Katharina Bartz;M;41;Abogado / Notario / Escribano;8365.08;896.09
42336;Mark Felsenthalr;M;19;Profesor;133410.66;11387.56
32739;Anna Ringstromn;M;42;Informático;19167.04;1479.25
19518;Paolo Biondik;F;39;Varios;28169.07;2449.42
16868;Leika Kiharad;M;45;Profesor;12613.56;919.13
9348;env;F;18;Artes;29625.82;2559.82
46432;Laurentv;F;22;Arquitectura;62223.06;5326.26
20107;Sarahy;M;44;Periodismo;14976.45;1495.04
35734;Daniely;M;20;Doctor;82454;7024.17
39776;Ricka;M;33;Arquitectura;62874.96;5086.58
44835;Nick Edwardsg;M;37;Artes;17164.72;1223.39
48546;Joness;M;31;Admnistración;37302.1;3320.51
33484;Jebr;F;31;Arquitectura;7526.21;836.18
30738;Davev;F;21;Ciencias Varias;19653.01;1581.75
49725;Luciax;F;30;Ciencias Varias;174179.64;14346.97
37819;Andrea Shalal-Esan;F;19;Doctor;41543.64;3620.97
18150;Stevenf;F;18;Informático;9582.78;750.56
23755;Govindasamyh;M;41;Profesor;21720.96;2039.08
15526;Paritoshs;F;50;Periodismo;38107.36;2955.61
49281;Richardd;F;18;Varios;85423.16;7000.6
25413;Klaymanc;F;28;Profesor;20308.26;1684.35
50875;Kristend;F;20;Abogado / Notario / Escribano;60889.08;4859.09
1667;LaCaprad;F;37;Varios;13603.41;863.62
8416;Anjuliy;F;33;Varios;12943.48;1327.62
15093;James Daveyx;F;31;Mecánico;44483.64;3680.97
43491;Henryn;F;32;Admnistración;7795.54;804.63
16296;Kumarp;F;39;Varios;177243.92;14526.33
31006;Plumeq;M;41;Artes;35518.98;3068.92
39251;Arunah;M;43;Periodismo;8875.14;989.59
44827;Ramakrishnans;M;36;Varios;16708.07;1359.34
33107;Leikag;M;19;Periodismo;81395.44;6584.95
1307;Dixonb;M;22;Varios;48780.56;3835.05
11150;Annikai;M;28;Mecánico;141753.72;11587.81
9804;Wachtela;M;43;Admnistración;48608.78;4300.73
11825;Kevin Limp;M;22;Ciencias Varias;63206.72;5309.23
20243;Cyril Altmeyerk;M;27;Abogado / Notario / Escribano;63635.12;5476.93
40684;Jonathan Stempelz;M;30;Mecánico;126849.18;10511.77
24511;Luciar;M;45;Informático;8779.15;507.6
19486;rag;M;34;Informático;16154.8;1443.23
43715;Clairei;M;54;Admnistración;11631.41;858.28
8257;Gohm;M;31;Varios;24726.48;1767.54
50646;Tomf;M;25;Doctor;44188.5;3413.38
31509;Y.t;M;26;Contador;13065.87;1359.82
32945;Lauram;M;21;Periodismo;49447.74;4282.65
42724;Aruna Viswanathap;M;23;Profesor;42941.85;3311.49
37930;Abboudy;M;33;Doctor;37824.65;3208.05
3732;Nishanta;F;53;Artes;66732.58;5845.05
23934;Huw Jonesc;F;20;Artes;61463.94;5310
13428;Ransdellv;F;38;Emprendedor / Independiente;115800.54;9860.05
44445;Valentina Zaf;M;22;Doctor;88133.16;7147.43
38774;Carolinex;F;40;Admnistración;27632.92;2312.74
26162;Arunag;M;18;Periodismo;21846.06;1978.51
1748;Lewis Krauskopfk;M;29;Varios;8610.77;888.56
11703;Charliet;F;27;Ingeniero;49023.22;4161.27
19423;Dorfmank;F;42;Informático;104564.64;9002.72
15266;Valetkevitchv;F;27;Emprendedor / Independiente;59751.78;5044.32
19750;Solarinam;F;19;Arquitectura;20978.49;1853.21
9342;Jenniferc;F;44;Doctor;118644.36;10033.03
15681;Tim Reidi;F;19;Contador;30029.59;2406.47
17291;Kaori Kanekof;F;20;Varios;81557;6718.42
43433;Ranganathany;F;41;Varios;63331.9;5149.66
26824;Andrei Khalipz;F;36;Doctor;24069.55;1861.29
30617;Liana B.q;F;29;Admnistración;15762.72;1593.56
30856;Humery;M;50;Arquitectura;122713.6;10114.13
7486;Wayne Arnoldt;M;42;Arquitectura;41499.21;3582.27
43066;Niu Shupingq;M;22;Artes;82840.24;6973.35
17350;erl;M;24;Periodismo;24195.37;1946.28
21322;Lisas;M;20;Ciencias Varias;78139.42;6315.62
36175;Kazunori Takadas;M;21;Emprendedor / Independiente;7106.15;592.18
42077;Shahv;M;38;Doctor;20193.59;1400.8
32562;Nick Zieminskij;M;31;Varios;62545.59;5133.13
12346;Marianna Parragac;M;55;Arquitectura;32011.89;2806.66
35420;Lynnley Browninge;M;33;Periodismo;42399.03;3572.25
14037;Soyoung Kimm;M;30;Mecánico;23679.61;2266.3
20821;Terry Baynesh;M;27;Profesor;62139.51;5089.29
7787;Michaelc;M;26;Admnistración;62846.31;5393.19
25876;Gonzalezf;M;31;Varios;59438.91;5086.24
37615;Tripathya;M;36;Mecánico;69870.88;6020.57
50134;Scott Malonex;M;21;Arquitectura;76257.52;6383.79
13296;Pedro dax;M;32;Ciencias Varias;74450.88;6139.24
13029;Ernesti;M;32;Emprendedor / Independiente;146866.76;12108.9
43239;Kyler;M;41;Abogado / Notario / Escribano;20914.44;1800.87
37078;Ryan Vlastelicas;M;22;Ingeniero;18936.55;1723.05
